Company Account,Merchant Account,Psp Reference,Payment Method,Date,Record Date TimeZone,CurrencyCode,Amount,Record Type,Dispute PSP Reference,Dispute Reason,RFI Scheme Code,RFI Reason Code,CB Scheme Code,CB Reason Code,NoF Scheme Code,NoF Reason Code,Payment Date,Payment Date TimeZone,Payment Currency,Payment Amount,Dispute Date,Dispute Date TimeZone,Risk Scoring,Shopper Interaction,Iban,Bic,Shopper Country,Issuer Country,Issuer Id,3D Directory Response,3D Authentication Response,CVC2 Response,AVS Response,Dispute Auto Defended,Dispute End Date,Dispute End Date TimeZone,Reserved4,Reserved5
TenLifManLim,TenUKMoto,C36CSF4C296R8HG2,mc,06/28/2024 06:31:38,BST,USD,460.13,NotificationOfChargeback,S7ZZQX44RC8X3SG2,Cardholder dispute,,,mc,4853,,,05/25/2024 00:10:11,BST,USD,460.13,06/28/2024 06:31:38,BST,25,Moto,,,,US,515676,,,1,6,False,08/07/2024 06:31:38,BST,,
TenLifManLim,TenUKMoto,C36CSF4C296R8HG2,mc,06/28/2024 19:48:47,BST,EUR,460.13,Chargeback,S7ZZQX44RC8X3SG2,Cardholder dispute,,,mc,4853,,,05/25/2024 00:10:11,BST,USD,460.13,06/28/2024 06:31:38,BST,25,Moto,,,,US,515676,,,1,6,False,08/07/2024 06:31:38,BST,,
