Company Account,Merchant Account,Psp Reference,Payment Method,Record Date,Record Date TimeZone,Curr,Dispute Amount,Record Type,Dispute PSP Reference,Dispute Reason,RFI Scheme Code,RFI Reason Code,CB Scheme Code,CB Reason Code,NoF Scheme Code,NoF Reason Code,Payment Date,Payment Date TimeZone,Payment Currency,Payment Amount,Dispute Date,Dispute Date TimeZone,Risk Scoring,Shopper Interaction,Iban,Bic,Shopper Country,Issuer Country,Issuer Id,3D Directory Response,3D Authentication Response,CVC2 Response,AVS Response,Dispute Auto Defended,Dispute End Date,Dispute End Date TimeZone,Reserved4,Reserved5
TenLifManLim,TenUK1_USD,JK2PCNSWFXNQ4932,mc,2024-05-22 01:32:00,BST,EUR,89.85,NotificationOfChargeback,DP959QCP2HQDPPH2,No Cardholder Authorisation,,,mc,4837,,,2024-02-23 10:05:56,GMT,USD,89.85,2024-05-22 01:32:00,BST,15,Ecommerce,,,US,MY,552115,,,1,3,False,2024-07-01 01:32:00,BST,,
TenLifManLim,TenUK1_USD,JK2PCNSWFXNQ4932,mc,2024-05-22 19:50:42,BST,GBP,89.85,Chargeback,DP959QCP2HQDPPH2,No Cardholder Authorisation,,,mc,4837,,,2024-02-23 10:05:56,GMT,USD,89.85,2024-05-22 01:32:00,BST,15,Ecommerce,,,US,MY,552115,,,1,3,False,2024-07-01 01:32:00,BST,,
